Nom_etablissement;Nombre_d_eleves;latitude;longitude
Lycée professionnel privé de la coiffure Albert Pourrière;75;49.41389445479765;1.0725691973268314
Lycée Notre-Dame de Nazareth;84;49.295559708989025;-0.37262335392028934
Lycée Marie Immaculée;85;48.606791183725385;0.1718127402188215
Lycée Bignon;106;48.52261397383964;0.5442656740208446
Lycée professionnel Notre-Dame de la Providence;111;48.6869275880642;-1.3669710598018427
Lycée professionnel privé Saint-Ouen;118;49.351709108825105;0.49592730449600836
Apprentis d'Auteuil - lycée professionnel Victorine Magne;126;49.142819746269936;0.21900388645628513
Lycée professionnel Claude Monet;126;49.50148577422768;0.10765871803185965
Lycée du bois;129;49.89214443270786;1.2708111644377056
Lycée professionnel Saint-Joseph;131;49.35385631255368;0.06793490053111849
Lycée privé école des Roches;132;48.74125305496687;0.8936110165663692
Lycée professionnel Thomas Hélye - Centre La Bucaille;134;49.639849015120504;-1.627785130822289
Lycée Technologique Notre-Dame de Fidélité;137;49.211036548521626;-0.37338618257961437
Institution Notre-Dame - Lycée professionnel;153;49.30492884573689;-1.2474626006629308
Lycée professionnel le Bon Sauveur;154;49.11254413732871;-1.095569489070721
Lycée professionnel Notre-Dame de la Fidélité;155;49.21081763118537;-0.37371663941930877
Lycée professionnel Institut Saint-Lô;156;49.11945849476353;-1.10760115643116
Lycée professionnel Notre-Dame de Nazareth;157;49.295559708989025;-0.37262335392028934
Lycée professionnel Ingénieur Cachin;167;49.639272687088884;-1.6180958370427476
Lycée professionnel Jeanne d'Arc;179;48.74656975088598;-0.014716828278782356
Lycée technologique le Bon Sauveur;182;49.11254413732871;-1.095569489070721
Lycée professionnel privé Sainte-Agnès;185;49.0909092303022;1.4801457894820602
Lycée privé Saint-Ouen;193;49.351709108825105;0.49592730449600836
Lycée les Rosiers;194;49.152882292337544;0.22895556113173357
Lycée Jeanne d'Arc;199;48.74656975088598;-0.014716828278782356
Lycée professionnel Porte de Normandie;229;48.741184693291714;0.9126641567863556
Lycée professionnel Jean-Baptiste Colbert;232;49.4215587822757;1.053332884841358
Lycée professionnel Jules Siegfried;233;49.4974244436308;0.12417630796406089
Lycée professionnel Giel Don Bosco;235;48.75450402191699;-0.18953221331573886
Lycée professionnel les Rosiers;237;49.153517415955804;0.2289160804886737
Lycée privé Saint-Anselme;249;49.0949008364516;0.6047301835013287
Lycée professionnel Le Hurle-Vent;252;50.05510459823652;1.3652378454312686
Lycée professionnel de l'Oasis;259;49.181122475525186;-0.3600779970978948
Lycée professionnel Grieu;268;49.45472774537325;1.132479567288857
Lycée privé La Providence;268;49.89862969326164;1.0751242962432237
Lycée professionnel Augustin Boismard;279;49.19908166247771;0.7134705626023018
Section d'enseignement professionnel du lycée Julliot de la Morandière;286;48.829540698192226;-1.5789034258768322
Lycée professionnel Jean Jooris;297;49.27955601369594;-0.09618684143978774
Institution Frémont;300;49.14719831032045;0.22379756305977638
Lycée professionnel Marcel Sembat;304;49.41494307926244;1.0851019972858098
Lycée privé La Providence;304;49.75664644873173;0.38863574709198107
Lycée Institution Sévigné;307;48.840314749431485;-1.59153743030464
Section d'enseignement professionnel du lycée Claude Lehec;310;48.57241860848406;-1.0986453447989062
Lycée Jean-Paul II;315;49.06003534526945;-1.4486586820532485
Lycée privé Sacré-Coeur;317;49.42964447425243;1.0801966181832343
Lycée professionnel Gustave Flaubert;319;49.450856916049844;1.1216376517735682
Lycée Institution Jeanne d'Arc;324;49.28228988503574;-0.7059772757959689
Lycée professionnel privé Notre-Dame;325;49.288902284990215;1.0011415694897112
Lycée professionnel Flora Tristan;327;48.59375005475917;-0.36128324368047265
Lycée des Andaines;334;48.58662137600701;-0.3598728921072771
Cours Notre-Dame;342;49.295559708989025;-0.37262335392028934
Lycée professionnel Edmond Doucet;343;49.644699455851104;-1.6553323004710043
Section d'enseignement professionnel du lycée Napoléon;347;48.758147231786985;0.6378631343647797
Lycée professionnel Fernand Léger;357;49.36406358786504;1.0214257772542494
Lycée Saint-François de Sales;357;48.430343301874885;0.09801489843629779
Lycée Marie Joseph;358;49.37099073161382;0.1147274376339118
Lycée professionnel Jean Mermoz;362;48.83967276624787;-0.8786165121972864
Lycée professionnel Emulation Dieppoise;370;49.915788610143615;1.0821927682903025
Lycée Auguste Chevalier;371;48.59254012049415;-0.6423709579400321
Lycée privé Les Tourelles;374;49.45056249995501;1.0926797146066298
Lycée professionnel Jean Rostand;374;49.85633809443123;1.021193558628399
